DATETIME, L_T1 , L_T2 , L_T3 , L_T4 , L_T5 , L_T6 , L_T7 , F_PU1 , S_PU1 , F_PU2 , S_PU2 , F_PU3 , S_PU3 , F_PU4 , S_PU4 , F_PU5 , S_PU5 , F_PU6 , S_PU6 , F_PU7 , S_PU7 , F_PU8 , S_PU8 , F_PU9 , S_PU9 , F_PU10 , S_PU10 , F_PU11 , S_PU11 , F_V2 , S_V2 , P_J280 , P_J269 , P_J300 , P_J256 , P_J289 , P_J415 , P_J302 , P_J306 , P_J307 , P_J317 , P_J14 , P_J422 , ATT_FLAG 
02/04/16 06,1.683141947,4.088065624,4.87757349,4.420178413,1.407155037,4.633461475,1.625092387,95.57898712,1,95.59768677,1,0,0,0,0,0,0,0,0,50.14729691,1,36.26594162,1,0,0,29.14957047,1,0,0,77.96778107,1,2.975688219,35.3461647,29.51039886,77.77757263,29.46966171,86.52121735,20.77462387,80.51473999,20.67364502,73.35236359,32.02840424,31.12840652,-999
02/04/16 07,1.78188765,4.471984386,4.877564907,4.142332077,1.66094017,5.117641449,3.216552734,96.45508575,1,96.4740448,1,0,0,0,0,0,0,0,0,0,0,35.63753891,1,0,0,30.78354454,1,0,0,56.43526459,1,2.975274086,34.87690735,31.72727394,76.10047913,31.72727394,58.63801956,20.12071037,80.98419189,20.00899506,67.44533539,33.95016098,33.05016327,-999
02/04/16 08,1.78724885,4.903243542,4.672303677,2.927313089,2.006412983,5.286586285,3.188000917,96.01183319,1,96.03066254,1,0,0,0,0,0,0,0,0,51.74744415,1,34.63996506,1,0,0,31.27736092,1,0,0,71.90473938,1,2.975483894,35.1145134,30.04094315,66.39933777,29.99776459,83.83014679,20.49572754,83.0890274,20.38067245,66.155159,32.53643799,31.63643837,-999
02/04/16 09,1.83271122,5.11227417,4.100795269,2.415295124,2.63227129,5.20840168,2.489126682,98.67366028,1,98.69326782,1,0,0,0,0,0,0,0,0,51.9249649,1,35.54368973,1,0,0,31.04986382,1,0,0,60.70511627,1,2.974210262,33.68181229,29.98553276,77.00079346,29.94207954,83.40738678,19.12182236,80.15447998,19.00831223,65.55198669,32.4262619,31.52626228,-999
02/04/16 10,1.663972139,5.15127039,4.100786209,2.071011782,2.740684032,5.102359772,1.804860234,93.81131744,1,93.82950592,1,0,0,0,0,0,0,39.33525848,1,39.31100845,1,32.90332413,1,0,0,30.6295166,1,0,0,82.08267212,1,2.976514578,36.28827286,29.73541641,65.82781982,29.64167404,104.4524536,22.02437973,87.48876953,21.9137001,69.86136627,32.51987457,31.61987305,-999
02/04/16 11,1.859255672,5.191786289,3.52927804,2.462997198,3.804093122,5.434472561,2.66993618,98.21794128,1,98.23741913,1,0,0,0,0,0,0,39.1823616,1,39.15813446,1,35.47439957,1,0,0,29.52016068,1,0,0,64.56298828,1,2.974430561,33.9280777,29.60076332,72.804245,29.50769424,104.5213547,19.80109596,80.94628143,19.6977253,71.22190094,32.28667831,31.38667679,-999
02/04/16 12,1.725596905,5.048665524,3.218062401,2.843241692,3.862359285,5.5,4.039210796,94.69439697,1,94.71283722,1,0,0,0,0,0,0,38.45069122,1,38.42658234,1,35.33440018,1,0,0,31.17005348,1,0,0,79.05851746,1,2.976103306,35.81840515,29.64328575,74.32310486,29.55340958,105.520546,20.9146328,82.31056976,20.80030823,66.93766022,32.39220047,31.49220085,-999
02/04/16 13,1.919785976,5.099974632,3.005133152,3.424515724,3.574000597,5.499984741,3.492933512,98.27179718,1,98.29129028,1,0,0,0,0,0,0,37.23412323,1,37.21021652,1,0,0,0,0,31.46423721,1,0,0,65.97450256,1,2.974404573,33.89899445,29.64564705,75.90513611,29.5609684,107.0506134,26.50905991,61.92235947,26.3927269,71.52590942,32.30017853,31.400177,-999
02/04/16 14,1.887997389,5.217431545,3.005125999,3.563192368,2.736389399,5.499984741,3.913191319,96.57893372,1,96.59792328,1,0,0,0,0,0,0,0,0,51.55388641,1,0,0,0,0,32.78495407,1,0,0,69.10969543,1,2.975215197,34.81045532,30.28084755,75.88691711,30.23796654,84.46833801,26.85780334,63.97562027,26.73226547,67.19281769,32.76024246,31.86024284,-999
02/04/16 15,1.984567285,5.190562248,3.524902105,3.101020575,2.422419548,5.491901398,3.252220631,98.2325058,1,98.25199127,1,0,0,37.21008301,1,0,0,0,0,46.65169144,1,0,0,0,0,31.8091526,1,0,0,67.07925415,1,2.974423409,33.92021179,29.35030746,87.52342987,29.4337635,92.96907043,26.51219368,58.83756638,26.39348984,70.33295441,32.2250061,31.32500648,-999
02/04/16 16,1.940550923,5.019389629,3.952691793,4.390608788,1.357457757,5.5,4.169023037,98.697258,1,98.7168808,1,0,0,37.70664215,1,0,0,0,0,50.827034,1,33.09286499,1,0,0,26.11572838,1,0,0,66.39728546,1,2.974198818,33.66903305,28.96522903,86.21805573,29.04551315,84.74922943,21.01711845,86.26837921,20.93473434,82.29540253,31.89043236,30.99043274,-999
02/04/16 17,1.841771841,4.803142548,4.319639683,3.84635663,2.461601496,5.437049389,4.671944141,96.71476746,1,96.7338028,1,0,0,36.91955566,1,0,0,0,0,48.74572372,1,35.88223267,1,0,0,0,0,0,0,74.68888092,1,2.975150585,34.73752594,29.07505989,87.78009033,29.15377998,88.89414978,26.37994576,86.74790192,26.37994576,58.25304413,32.00774002,31.1077404,-999
02/04/16 18,1.923806906,4.720691681,4.732834339,4.441231728,3.280194044,5.073561668,2.983675003,95.8415451,1,95.86032104,1,0,0,38.15715027,1,0,0,0,0,0,0,37.97019577,1,0,0,0,0,0,0,71.5539093,1,2.97556448,35.20569229,30.33722115,86.7429657,30.46198463,54.23338699,26.4379673,82.9776001,26.4379673,60.09092712,32.87049866,31.97049713,-999
02/04/16 19,2.02090168,4.89433527,5.08426857,2.808365345,3.399511814,4.985331059,2.682650089,98.75271606,1,98.7723465,1,0,0,37.47861862,1,0,0,0,0,51.38968658,1,33.94659424,1,0,0,29.99981308,1,0,0,67.03939056,1,2.974172115,33.63903809,28.84798431,86.52515411,28.92604446,83.49215698,19.83971024,83.59570313,19.7332077,69.7338028,31.77879524,30.87879562,-999
02/04/16 20,1.832385659,4.753015995,5.195130825,2.285123825,3.994428396,5.31345892,3.435571671,97.28722382,1,97.30641937,1,0,0,0,0,0,0,0,0,50.85100937,1,34.59649658,1,0,0,30.80627441,1,0,0,68.71966553,1,2.974877357,34.4297905,29.82997704,75.80603027,29.78817558,85.44387054,20.14362526,82.80891418,20.03175735,67.39231873,32.30243683,31.40243721,-999
02/04/16 21,1.90664053,4.956439018,4.95232439,2.558408737,3.277894497,5.49706459,3.402861595,95.95545959,1,95.97427368,1,0,0,0,0,0,0,0,0,51.43674088,1,0,0,0,0,32.72925949,1,0,0,73.17802429,1,2.975510597,35.14470673,30.14669418,77.85232544,30.10399628,84.57424164,27.12465477,61.724823,26.99951172,67.66259766,32.64687729,31.74687576,-999
02/04/16 22,2.050905228,5.185096264,4.952316761,2.535643816,2.45328474,5.5,3.235634089,96.64289093,1,96.66190338,1,0,0,0,0,0,0,0,0,51.98722076,1,0,0,0,0,32.5681076,1,0,0,69.57302094,1,2.975184679,34.77612305,30.24625015,67.30171204,30.20269966,83.53878021,26.95665169,63.58244324,26.83264732,68.07900238,32.73111725,31.83111572,-999
02/04/16 23,2.137451887,5.368434429,4.3982234,2.031235933,2.107412577,5.5,2.930136442,97.98764038,1,98.00704956,1,0,0,0,0,0,0,0,0,51.83021545,1,0,0,0,0,32.81612015,1,0,0,63.82782745,1,2.974541426,34.05238342,30.29866028,76.96373749,30.25535583,83.91682434,26.52999115,62.20726776,26.40423393,66.75222015,32.75352859,31.85352898,-999
03/04/16 00,2.094880342,5.370415688,4.312274933,2.330828905,1.535953999,5.452559471,2.325127602,96.55556488,1,96.57454681,1,0,0,0,0,0,0,33.94509125,1,33.92174911,1,0,0,0,0,33.0077095,1,0,0,70.63244629,1,2.975226164,34.82299423,30.0527401,73.50187683,29.98139381,111.204895,26.94787979,63.33197021,26.82075882,66.46643066,32.67022705,31.77022552,-999
03/04/16 01,2.182304382,5.448631763,3.99712348,3.825183153,1.514237642,5.391355038,1.756613016,96.90107727,1,96.92016602,1,0,0,0,0,0,0,0,0,51.40343857,1,0,0,0,0,32.18591309,1,0,0,67.03826141,1,2.975061893,34.63744354,30.46298981,71.3500061,30.42034149,84.9590683,26.9950695,60.07285309,26.87374687,69.48725891,32.93072891,32.03072739,-999
03/04/16 02,2.296377897,5.189182758,3.60554266,3.505559683,1.580574632,5.5,2.497897863,95.76797485,1,95.78672791,1,0,0,0,0,0,0,0,0,50.55566025,1,35.52721786,1,0,0,30.02504539,1,0,0,0,0,2.975599289,35.24508667,28.1606102,72.41677094,28.11925697,84.36456299,20.57540703,81.62989807,20.46873856,70.388237,38.13403702,29.53964233,-999
03/04/16 03,2.389204979,4.652984142,3.273425817,3.259521484,2.021722555,5.5,3.013798237,89.01838684,1,89.03520203,1,0,0,0,0,0,0,0,0,45.86962891,1,36.15826416,1,0,0,31.8889904,1,0,0,0,0,2.97868824,38.81068802,27.95885468,67.74040222,27.92431831,92.80802155,23.35833168,83.30181885,23.23907471,66.8990097,41.99563217,29.30672264,-999
03/04/16 04,2.802235842,4.005930424,3.168908834,4.53925848,2.538322687,5.5,2.556339264,86.14546967,1,86.16147614,1,0,0,34.45731735,1,0,0,0,0,0,0,34.48839188,1,0,0,27.55586052,1,0,0,0,0,2.979944706,40.29969406,27.90527916,90.9265976,28.00856972,59.29272842,26.53980255,89.37689209,26.44881439,83.860672,43.89927673,29.29150963,-999
03/04/16 05,3.31730628,3.546477079,3.711713791,2.954557657,3.654363871,5.499867916,4.799971581,84.08020782,1,84.09564972,1,0,0,34.30655289,1,0,0,0,0,47.04735947,1,36.16705322,1,0,0,0,0,0,0,0,0,2.980826139,41.35921097,23.54815102,86.82264709,23.61440659,86.45135498,32.93664169,92.7970047,32.93664169,60.06509018,45.59550095,25.29682732,-999
03/04/16 06,4.005517483,2.687097549,4.125629425,3.568240404,4.240234375,5.214632511,3.498896122,84.14485168,1,84.16030884,1,0,0,30.84429741,1,0,0,0,0,42.91326141,1,0,0,0,0,0,0,0,0,0,0,2.980798721,41.32619095,23.51989746,92.25906372,23.57350159,93.23290253,36.8139801,62.72172546,36.8139801,61.56544113,46.14895248,25.17451096,-999
03/04/16 07,4.591863155,2.01866889,4.70797205,4.651245594,3.420233727,5.06906414,3.512981892,108.3830109,1,0,0,0,0,36.46121979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.991501331,28.36199379,25.79654312,85.33101654,25.9112339,65.83157349,33.62010193,63.56147003,33.62010193,52.46119308,40.84679031,27.20442963,-999
03/04/16 08,4.836551189,1.632735372,5.020487785,3.352083445,2.856327534,4.911879063,2.29598403,106.3369522,1,0,0,0,0,32.84125519,1,0,0,0,0,0,0,0,0,0,0,34.164608,1,0,0,0,0,2.991796255,29.5017643,25.62577057,91.29459381,25.72026825,53.14427948,31.47365189,63.66140366,31.33815575,66.62593842,41.66436386,26.99529648,-999
03/04/16 09,5.173130035,1.050981522,5.177845001,2.334672689,2.428430319,4.911670685,1.749526858,111.5577393,1,0,0,0,0,0,0,0,0,0,0,49.67259216,1,0,0,0,0,33.40468597,1,0,0,0,0,2.991034746,26.57826042,24.08754539,66.90486908,24.04751778,82.02325439,29.72647858,64.2284317,29.59650993,67.77067566,39.30305862,25.46050835,-999
03/04/16 10,5.16862011,0.414328545,4.606336117,2.097611427,2.428422928,5.099583149,1.883444548,112.2097092,1,0,0,0,0,0,0,0,0,33.05942917,1,33.03624725,1,0,0,0,0,33.64975739,1,0,0,110.475769,1,2.990937471,26.20968246,26.54896355,66.33335876,26.4810257,108.6173096,29.38249207,62.37957001,29.2507534,66.50404358,29.41054916,28.51054955,-999
03/04/16 11,4.95105505,0.892281771,4.034827232,3.612765551,1.83049655,5.100198746,1.443048596,118.0573425,1,0,0,0,0,0,0,0,0,0,0,49.18447113,1,0,0,0,0,30.19219589,1,0,0,86.37709045,1,2.990043402,22.86992455,26.75451088,65.76186371,26.71520996,85.62675476,26.81504822,61.68878937,26.70730591,76.1109314,29.31645393,28.41645432,-999
03/04/16 12,4.421799183,1.238307357,3.463318825,3.837406397,1.738532424,5.5,3.456210136,114.9734802,1,0,0,0,0,0,0,0,0,0,0,47.81954956,1,33.20985031,1,0,0,31.13775063,1,0,0,92.38160706,1,2.990519762,24.63876534,27.52396393,76.3633194,27.4866581,88.93720245,21.91385269,86.88524628,21.79974747,68.04742432,30.1155262,29.21552658,-999
03/04/16 13,4.085913658,1.74272275,3.463312387,4.387332916,2.810814142,5.5,3.232859373,119.4665527,1,0,0,0,0,0,0,0,0,0,0,0,0,35.58034134,1,0,0,28.72162819,1,0,0,58.12477493,1,2.989822149,22.05609512,29.12464714,65.19036102,29.12464714,54.17956924,19.10040283,80.05688477,19.00214958,72.98641968,31.35499573,30.45499611,-999
03/04/16 14,3.557585478,2.181952238,2.891803741,2.785717726,2.865846157,5.5,4.119362831,117.0451584,1,0,0,0,0,37.61808014,1,0,0,0,0,49.69847107,1,35.87497711,1,0,0,30.9836216,1,0,0,86.16126251,1,2.990200758,23.45233345,26.54856682,84.24882507,26.6293602,84.55511475,19.95831108,80.4030304,19.84525108,66.61374664,29.56990814,28.66990852,-999
03/04/16 15,3.170923471,2.164214611,3.230439186,2.910917997,2.932459593,5.439278126,3.367259026,120.2891006,1,0,0,0,0,35.63027573,1,0,0,0,0,50.32185745,1,35.19068909,1,0,0,30.63845634,1,0,0,72.08341217,1,2.989691973,21.5794754,26.38155365,87.38939667,26.45044899,83.15864563,18.15462875,79.79843903,18.04388809,65.96195221,29.29566193,28.39566231,-999
03/04/16 16,2.669745445,2.010674,3.672284603,2.426978588,2.976532459,5.343360424,2.630581379,116.9609299,1,0,0,0,0,33.165905,1,0,0,0,0,50.41291428,1,32.92192078,1,0,0,31.37828445,1,0,0,86.93070221,1,2.990213871,23.50071907,26.4469223,91.5956192,26.50201988,83.03031921,20.53077126,85.96814728,20.41502762,65.84295654,29.4085331,28.50853348,-999
03/04/16 17,2.364619017,2.03879571,4.233778477,2.108858585,3.899839878,5.246860027,1.962597132,122.264267,1,0,0,0,0,36.7256813,1,0,0,0,0,49.68476868,1,33.47108459,1,0,0,30.63846397,1,0,0,64.09573364,1,2.989376307,20.43022919,26.00793648,85.0652771,26.08412552,84.03633881,17.25196075,81.79551697,17.14122009,65.05926514,28.89251137,27.99250984,-999
03/04/16 18,1.912065983,1.859549522,4.554875374,2.268964291,3.482751131,5.148919106,1.350979209,118.5579453,1,0,0,0,0,36.6857338,1,0,0,0,0,49.01964188,1,0,0,0,0,32.03240585,1,0,0,81.7963028,1,2.989964962,22.58121872,26.22504234,85.35469818,26.30198479,85.52615356,25.68501854,59.97190475,25.56476784,68.72096252,29.1977272,28.29772568,-999
03/04/16 19,1.632418752,1.813938498,4.874081612,2.711055279,2.425717354,5.4124856,1.926638126,121.4434738,1,0,0,0,0,33.30096817,1,0,0,0,0,47.42597961,1,0,0,0,0,32.25062561,1,0,0,68.97175598,1,2.989507914,20.90861702,26.14382362,91.07439423,26.20404625,88.36566162,24.02176666,58.55580521,23.89999199,66.28363037,28.97319603,28.07319641,-999
03/04/16 20,1.220483422,1.728426456,5.263682842,3.558884144,1.409609914,5.375809193,1.503455758,121.3601151,1,0,0,0,0,0,0,0,0,0,0,49.18889618,1,34.47293091,1,0,0,30.16137123,1,0,0,64.75960541,1,2.989521265,20.95713425,26.75647545,76.38944244,26.7171669,85.62026978,17.60776138,80.48040771,17.50019264,66.97981262,29.19760704,28.29760742,-999
03/04/16 21,0.941737711,1.962810755,5.052083969,3.796493292,1.846356034,5.5,1.850174904,100.2413101,1,100.2613907,1,0,0,0,0,0,0,0,0,50.3377037,1,34.99243927,1,0,0,30.76129723,1,0,0,74.26704407,1,2.973446369,32.83150482,27.23565865,76.94013977,27.19463348,83.87154388,18.16047096,80.1476059,18.0489254,65.57585144,29.73415184,28.83415222,-999
03/04/16 22,0.724559546,2.206169844,4.895826817,3.236881733,2.129317522,5.349223137,1.207575202,97.12059021,1,97.13973999,1,0,0,0,0,0,0,0,0,50.7689743,1,35.50074768,1,0,0,29.20607185,1,0,0,82.31337738,1,2.974956989,34.51943588,27.7836132,70.79142761,27.74193382,83.56190491,19.81298637,80.91085815,19.71164131,72.21492767,30.33146667,29.43146515,-999
03/04/16 23,0.778783143,2.534636974,4.451685429,2.692494631,2.425354719,5.5,2.921231508,99.7767868,1,99.79672241,1,0,0,0,0,0,0,0,0,49.99768066,1,34.290905,1,0,0,29.85731316,1,0,0,72.01836395,1,2.97367382,33.0839653,27.74413872,73.81768799,27.70362473,85.04801941,18.77543449,81.954422,18.66986465,69.12674713,30.22806168,29.32806206,-999
04/04/16 00,0.615943134,2.759648323,4.144714355,2.90307951,2.9213202,5.5,3.158867359,100.2978363,1,100.3179321,1,0,0,0,0,0,0,0,0,50.91439438,1,35.11370087,1,0,0,29.17425346,1,0,0,68.40368652,1,2.973418713,32.80075836,27.82572556,74.72817993,27.78382683,83.31223297,18.38716125,80.15894318,18.28602219,70.88751984,30.29700089,29.39699936,-999
04/04/16 01,0.433428377,2.936233044,3.900341034,2.362665176,3.038920641,5.5,3.715281725,97.44274139,1,97.46199036,1,0,0,0,0,0,0,0,0,51.19043732,1,32.28115463,1,0,0,28.01072693,1,0,0,76.55722809,1,2.974802971,34.34607315,28.25568008,65.627388,28.21335983,83.18460846,20.54670525,86.98989868,20.45290947,76.54766846,30.77288628,29.87288666,-999
04/04/16 02,0.525932372,3.184410572,3.328832388,2.04213357,4.092615604,5.453894615,4.640130997,93.47335052,1,93.49143219,1,0,0,0,0,0,0,36.26943207,1,36.24568558,1,0,0,0,0,0,0,0,0,96.51399231,1,2.97667098,36.46768188,28.27856636,76.22883606,28.19790649,106.8398666,30.37722778,60.43291092,30.37722778,61.76131439,31.09624863,30.19624901,-999
04/04/16 03,0.947057962,3.442510128,3.328825235,3.13535428,3.019824982,5.2782197,3.930633068,92.97562408,1,92.99356842,1,0,0,0,0,0,0,31.88132858,1,31.85836411,1,0,0,0,0,0,0,0,0,95.44410706,1,2.976900578,36.7314682,28.92733955,75.29039764,28.86381912,112.1553726,30.80363846,60.44074631,30.80363846,60.18690109,31.6593399,30.75934029,-999
04/04/16 04,1.381265163,3.893606901,3.178803205,4.544471741,2.067355871,5.016522408,2.892664671,93.80279541,1,93.82097626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.70929718,1,2.976518393,36.29279709,32.22867966,64.90583801,32.22867966,70.72245026,30.8159771,63.75436401,30.8159771,61.16960144,34.51519012,33.61519241,-999
04/04/16 05,1.739533305,4.483785629,3.079145432,3.986426353,1.935158372,4.866343498,3.097038507,95.58415985,1,95.6028595,1,0,0,32.59377289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.49349213,1,2.975685835,35.34339523,30.54908752,96.61047363,30.64226913,59.3509903,30.22574997,63.71648407,30.22574997,61.09495544,33.03284073,32.1328392,-999
04/04/16 06,1.990005612,4.703938484,3.77064538,2.943459034,1.885144472,4.706342697,2.971075535,95.8478775,1,95.86666107,1,0,0,32.98744583,1,0,0,0,0,48.32389832,1,0,0,0,0,0,0,0,0,80.74667358,1,2.97556138,35.20230103,29.15244293,94.58777618,29.20968437,89.73544312,30.21241188,59.54172134,30.21241188,60.88512421,32.0514946,31.15149498,-999
04/04/16 07,2.125006676,4.676234245,4.40405798,3.858781099,1.68068862,4.538382053,2.729005098,95.05524445,1,95.0737915,1,0,0,35.43238068,1,0,0,0,0,45.44869995,1,37.31039047,1,0,0,0,0,0,0,82.80484009,1,2.975934505,35.62595749,29.12046051,90.47344971,29.19527626,94.78900909,26.97443771,84.75071716,26.97443771,56.52158737,32.04085922,31.1408577,-999
04/04/16 08,2.214580774,4.896725178,4.910911083,4.446823597,2.225923777,4.617898464,2.511786699,95.33049774,1,95.34912109,1,0,0,35.57362747,1,0,0,0,0,0,0,35.95044708,1,0,0,30.02967834,1,0,0,71.0620575,1,2.975805283,35.47898102,30.64375687,91.75062561,30.75333023,71.64699554,20.9894104,81.29660034,20.88271141,70.78944397,33.14555359,32.24555588,-999
