TIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
02/09/15 19,4.288324356,0.582486689,4.963789463,3.243608475,1.910908341,4.910183907,2.308978558,120.8195724,1,0,0,0,0,36.0399971,1,0,0,0,0,48.41038132,1,35.44171143,1,0,0,29.94976234,1,0,0,81.9772644,1,2.989607573,21.27148247,24.97463608,85.26087189,25.04872131,85.41414642,18.08076859,79.28502655,17.97488022,68.37184143,27.93110466,27.03110504,0
02/09/15 20,3.69524622,0.547203839,5.267299652,3.566588402,2.007697105,5.180012703,2.844086409,118.4338684,1,0,0,0,0,35.97958755,1,0,0,0,0,43.56403351,1,35.91692734,1,0,0,30.58218193,1,0,0,91.49760437,1,2.989984512,22.65281487,25.12501717,85.51824188,25.20552444,93.85706329,19.21785164,79.586586,19.10748672,67.21154785,28.08971214,27.18971062,0
02/09/15 21,3.265034676,0.974785388,4.914468288,4.677318096,2.079291105,5.340848923,2.856624842,120.2915878,1,0,0,0,0,0,0,0,0,0,0,0,0,33.47325897,1,0,0,30.0281353,1,0,0,59.17309189,1,2.989691496,21.57802773,28.43688393,73.8562088,28.43688393,57.49811935,18.71382904,83.25153351,18.60713768,68.51669312,30.67195702,29.7719574,0
02/09/15 22,2.76649189,1.510427356,4.588118076,2.936685801,2.805028677,5.5,3.380641937,120.9666901,1,0,0,0,0,0,0,0,0,0,0,45.12900543,1,32.80192947,1,0,0,30.61635208,1,0,0,68.65109253,1,2.989584208,21.18597603,26.8031826,73.03357697,26.76967239,92.89859009,18.28448486,83.91136932,18.1738987,66.17093658,29.2373848,28.33738327,0
02/09/15 23,2.270345449,1.746999264,4.24027586,4.307186604,3.575505495,5.399223328,2.652912855,116.7236404,1,0,0,0,0,0,0,0,0,0,0,46.10626602,1,34.695858,1,0,0,28.64309692,1,0,0,81.94815063,1,2.990250587,23.63695908,27.56049347,74.23277283,27.52562523,92.00375366,20.85185242,83.33985901,20.75409889,74.97684479,30.07502365,29.17502213,0
03/09/15 00,2.089860678,2.37703228,3.964003563,4.187711239,4.069012642,5.5,4.750168324,118.4380341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.09149933,1,0,0,57.30970383,1,2.989983797,22.65041161,29.69746971,75.26107788,29.69746971,53.97990036,25.85038376,65.46295929,25.72972298,68.67946625,31.92419624,31.02419662,0
03/09/15 01,1.804023147,2.78343749,3.763693571,2.740833998,3.805295706,5.5,4.275587559,119.2979813,1,0,0,0,0,0,0,0,0,0,0,50.20178604,1,0,0,0,0,31.10497665,1,0,0,68.0897522,1,2.989848614,22.15362549,27.86542892,65.49073792,27.82460976,84.76921082,25.4373436,62.23286819,25.32345963,71.68105316,30.33016014,29.43016052,0
03/09/15 02,1.507068753,2.962246895,3.192185163,2.865947247,2.978119612,5.5,4.619755268,115.7541428,1,0,0,0,0,0,0,0,0,0,0,51.12917328,1,0,0,0,0,29.24513245,1,0,0,78.1618042,1,2.990400076,24.19257927,28.34622002,71.54909515,28.30399132,83.39930725,27.14324951,64.51278687,27.04165268,79.42385864,30.87214851,29.9721489,0
03/09/15 03,1.646582603,3.11988759,3.22911191,2.32886672,2.768510818,5.324698925,4.036274433,115.2243042,1,0,0,0,0,32.57891464,1,0,0,0,0,50.10486603,1,0,0,0,0,0,0,0,0,84.84210968,1,2.990481377,24.49552345,27.56199837,93.64682007,27.61442947,84.74919891,29.45858574,61.39084244,29.45858574,59.14839172,30.49798393,29.59798431,0
03/09/15 04,1.787128329,3.146888018,3.855202436,2.540350437,1.96748054,5.007957935,2.682598114,116.3704605,1,0,0,0,0,32.42929459,1,0,0,0,0,44.92852783,1,0,0,0,0,0,0,0,0,80.81516266,1,2.990305185,23.83955765,27.65177727,93.97213745,27.71085548,94.16971588,29.2837677,63.76677704,29.2837677,49.68893433,30.50808144,29.60807991,0
03/09/15 05,1.698112011,3.16866231,4.474630833,4.052485466,1.958967447,4.818864346,1.543497562,120.862915,1,0,0,0,0,34.09853745,1,0,0,0,0,50.03658295,1,0,0,0,0,31.85785103,1,0,0,62.24574661,1,2.989600658,21.24629211,27.19153976,90.81326294,27.25227737,84.52481842,24.43286896,58.08905792,24.31382751,68.08273315,30.02770042,29.12770081,0
03/09/15 06,1.257111073,2.885818481,4.986562729,3.754851818,1.526153564,5.034076214,1.904729962,119.7346344,1,0,0,0,0,33.44512177,1,0,0,0,0,46.48983383,1,33.79188538,1,0,0,30.58400536,1,0,0,66.05596161,1,2.989779711,21.90088463,27.17862511,91.87527466,27.24095917,91.05716705,18.68011093,82.69514465,18.56973457,66.66777802,29.98582458,29.08582497,0
03/09/15 07,1.007810712,2.948103666,5.273873329,4.431231976,2.229998827,5.180729866,1.984179378,96.98537445,1,97.00449371,1,0,0,0,0,0,0,0,0,0,0,32.48628998,1,0,0,31.2396946,1,0,0,61.74521637,1,2.975021601,34.59213638,30.61206627,76.9409256,30.61206627,65.81148529,20.1679554,86.29953003,20.0531559,65.95393372,32.85903549,31.95903397,0
03/09/15 08,1.073827863,3.59226656,5.100028038,3.154424667,3.268492937,5.169634342,1.604277968,95.99215698,1,96.0109787,1,0,0,0,0,0,0,0,0,0,0,34.13652039,1,0,0,31.45662689,1,0,0,61.25921249,1,2.975493431,35.12505341,31.21752548,70.15685272,31.21752548,70.31066132,20.17573738,83.62008667,20.05945778,65.21878815,33.46221542,32.5622139,0
03/09/15 09,1.180931687,4.144835949,4.62791729,3.27932477,3.861727953,5.064507008,1.014371276,98.57052612,1,98.59010315,1,0,0,0,0,0,0,0,0,51.27788544,1,34.17924881,1,0,0,20.92591476,1,20.89052773,1,66.24241638,1,2.97426033,33.73757172,29.143713,66.35494232,29.10125923,83.89854431,16.34877968,79.7671051,16.15177536,89.35855103,31.60656738,30.70656776,0
03/09/15 10,1.066775799,4.300803661,4.056408405,2.751317739,3.892235994,5.5,3.641841173,94.56729889,1,94.58570862,1,0,0,0,0,0,0,0,0,50.02419662,1,32.6217041,1,0,0,26.71589088,1,0,0,79.18358612,1,2.976162672,35.88612747,29.77933311,65.7834549,29.73877907,87.03146362,22.37720108,88.27765656,22.29127693,82.04013062,32.3035202,31.40352249,0
03/09/15 11,1.417222738,4.667616844,3.484900236,3.266211987,4.000052929,5.474826813,4.899466038,95.00125885,1,95.01979065,1,0,0,0,0,0,0,0,0,51.5863533,1,0,0,0,0,0,0,0,0,79.32323456,1,2.975959778,35.65476227,30.07655144,65.21192932,30.03362083,84.19757843,30.25906181,60.13005447,30.25906181,60.50513077,32.61241531,31.7124176,0
03/09/15 12,1.728566647,4.960680485,2.91339159,2.817017317,2.905012131,5.213439465,3.693656683,98.24750519,1,98.26699829,1,0,0,30.66770554,1,0,0,0,0,51.52445602,1,0,0,0,0,0,0,0,0,68.43962097,1,2.974416256,33.91211319,29.24747658,98.24968719,29.28787994,83.57854462,29.30080795,63.63205338,29.30080795,51.80861664,32.07561111,31.1756115,0
03/09/15 13,1.749170184,4.811656952,3.655976534,2.295832157,2.459308624,4.948266983,2.138160944,93.14015961,1,93.15814972,1,0,0,32.88066483,1,0,0,0,0,50.23884201,1,0,0,0,0,32.8259697,1,0,0,89.45899963,1,2.97682476,36.64432526,29.2815361,94.8875351,29.33536911,86.20716095,28.24173355,63.97483444,28.11590576,68.42701721,32.25287628,31.35287666,0
03/09/15 14,2.046165466,4.88402319,4.300134182,2.738193035,2.241667032,5.182014465,2.431990385,95.66664124,1,95.68536377,1,0,0,35.033741,1,0,0,0,0,51.54890823,1,0,0,0,0,33.10208511,1,0,0,78.90645599,1,2.975646973,35.29928207,29.20944595,91.25097656,29.27308655,83.51379395,27.25465775,64.00617218,27.12686157,66.42494202,32.16518021,31.26517868,0
03/09/15 15,2.186918259,4.807607174,4.826453686,2.218221426,2.170919418,5.138318539,1.848032117,98.12178802,1,98.14123535,1,0,0,35.69270706,1,0,0,0,0,48.84407425,1,0,0,0,0,32.56136322,1,0,0,70.85582733,1,2.974476814,33.97999191,29.04408836,89.94258881,29.11554146,88.67139435,26.55960464,59.67607117,26.43564796,67.70633698,31.93670845,31.03670883,0
03/09/15 16,2.076876879,4.655673027,5.296971321,3.066963911,1.562260032,5.310474873,1.992322206,95.47673035,1,95.49539948,1,0,0,37.38488388,1,0,0,0,0,47.13111115,1,36.67652512,1,0,0,29.2465744,1,0,0,79.96333313,1,2.97573638,35.40083313,29.02463913,86.87538147,29.10844994,91.79669952,20.9089489,79.90725708,20.80734444,73.18515778,31.97775078,31.07775116,0
03/09/15 17,2.151100874,4.947585106,4.74163866,4.246621609,1.660322189,5.5,3.741978168,96.5463028,1,96.56528473,1,0,0,0,0,0,0,0,0,45.23599625,1,33.09986496,1,0,0,28.58792496,1,0,0,69.57595825,1,2.975230694,34.82796478,30.2688427,72.35992432,30.23518562,96.18431854,21.52266693,86.66282654,21.42526054,75.81213379,32.70851517,31.80851555,0
03/09/15 18,2.177895546,5.445980072,4.360288143,4.628956318,2.730043411,5.5,4.948095322,95.29075623,1,95.30937195,1,0,0,0,0,0,0,0,0,0,0,37.20169449,1,0,0,0,0,0,0,56.23009872,1,2.975823879,35.50020981,32.68611145,77.22827911,32.68611145,59.39487457,26.92667198,84.90429688,26.92667198,60.8906517,34.90810776,34.00810623,0
03/09/15 19,2.550436258,5.500031948,4.336078644,2.73243475,3.261375904,5.249631882,3.797163963,94.84202576,1,94.86051178,1,0,0,0,0,0,0,0,0,47.30105209,1,35.66264343,1,0,0,0,0,0,0,0,0,2.976034403,35.73970413,28.70667458,74.73870087,28.67011642,91.05596924,27.49877357,88.25492859,27.49877357,51.33255005,38.95565033,30.06378937,0
03/09/15 20,2.721395731,5.000471115,4.081582546,3.850776196,3.962315083,4.949200153,2.155005455,94.55757141,1,94.57597351,1,0,0,0,0,0,0,0,0,49.77722168,1,0,0,0,0,32.33605576,1,0,0,0,0,2.976167202,35.89130783,28.02936935,71.62298584,27.98918724,85.76261139,28.17524338,65.76231384,28.0528717,70.13272858,39.19638062,29.40304756,0
03/09/15 21,2.94969821,4.473082542,3.697244644,3.994544029,3.96230793,5.277739048,2.878833532,92.87384796,1,92.89176178,1,0,0,0,0,0,0,0,0,47.01894379,1,0,0,0,0,33.14066696,1,0,0,0,0,2.976947308,36.78534698,27.69947433,66.1372757,27.66331863,90.55059052,28.93519211,60.38925171,28.80712128,67.96269226,40.22319412,29.05474854,0
03/09/15 22,3.247266769,4.109368324,3.145726681,4.532904148,2.898605824,5.439042091,2.807104111,94.04730988,1,94.06556702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.32616806,1,0,0,0,0,2.976404905,36.16286087,29.10936928,64.87275696,29.10936928,54.32505035,28.49201012,63.01152039,28.36260796,66.82976532,39.62717819,30.2993679,0
03/09/15 23,3.465811014,3.683333158,3.250661135,2.683430433,2.329521418,5.40755558,2.227411509,92.59777832,1,92.61560822,1,0,0,31.16046143,1,0,0,0,0,49.4469986,1,0,0,0,0,31.65472984,1,0,0,0,0,2.977074146,36.93139267,23.78458977,92.05239868,23.83063507,82.24067688,29.52944946,62.52594757,29.41181183,73.89025116,40.53416061,25.50882721,0
04/09/15 00,3.757334232,2.830232143,3.84062767,2.089087486,1.775824904,5.5,3.989547729,92.35696411,1,92.37473297,1,0,0,29.37645531,1,0,0,0,0,43.59316254,1,0,0,0,0,27.52288628,1,0,0,0,0,2.977184296,37.05865097,23.75076675,94.6060791,23.79620552,92.40464783,30.38954735,63.52563858,30.29875565,87.79886627,40.79169083,25.39061737,0
04/09/15 01,4.115417957,2.061460733,4.485873699,3.552177191,1.690531254,5.499992371,4.999983311,91.90548706,1,91.92312622,1,0,0,27.62491608,1,0,0,0,0,48.63152695,1,0,0,0,0,0,0,0,0,0,0,2.977390528,37.29692459,22.64990807,95.87574768,22.68001747,82.63381958,33.28977966,62.31473541,33.28977966,52.06096268,41.42090225,24.31320381,0
04/09/15 02,4.358080864,1.254617095,5.152061462,2.930609941,1.933290243,4.976494312,2.421970129,84.98374176,1,84.9994278,1,0,0,32.44033432,1,0,0,0,0,48.3550415,1,35.808815,1,0,0,32.50823593,1,0,0,0,0,2.980442762,40.89681625,21.32843971,87.63147736,21.38273048,81.85069275,26.15281105,86.7206955,26.02923012,67.49125671,44.85750198,23.06125259,0
04/09/15 03,4.653824329,0.563658834,5.164875507,2.319228411,2.784864187,5.133586407,2.393670082,112.5757828,1,0,0,0,0,0,0,0,0,0,0,48.59841156,1,34.09641647,1,0,0,29.108778,1,0,0,0,0,2.990882635,26.00239372,23.67813492,75.20849609,23.63969612,83.65538788,23.33324814,86.83594513,23.23252869,76.03621674,38.58245468,25.04383659,0
04/09/15 04,4.25360775,0.735819936,4.891236305,2.49906683,3.693849087,5.5,4.379944324,120.7390976,1,0,0,0,0,0,0,0,0,0,0,44.40323639,1,32.9888916,1,0,0,30.57260132,1,0,0,75.27542114,1,2.989620447,21.31823158,26.32507515,70.03272247,26.29255486,93.60840607,18.55017281,83.87671661,18.43988228,66.58338165,28.7902813,27.89028168,0
04/09/15 05,3.724323511,1.086553574,4.42188406,3.996445179,3.832625866,5.466595173,3.638028622,117.1138,1,0,0,0,0,0,0,0,0,0,0,49.92478943,1,0,0,0,0,30.19919395,1,0,0,87.82233429,1,2.990190268,23.41289711,26.98054886,73.58905792,26.9401474,84.43045807,27.08520699,59.96271515,26.97740936,76.35115814,29.55664825,28.65664864,0
04/09/15 06,3.429237127,1.498346329,4.105705261,3.712319374,2.737585068,5.455363274,4.733780861,113.0468521,1,0,0,0,0,0,0,0,0,0,0,45.97056198,1,0,0,0,0,0,0,0,0,95.43281555,1,2.990811825,25.73529625,28.10638046,71.71484375,28.07170296,92.78327942,31.04290581,58.8676796,31.04290581,62.74162292,30.70646477,29.80646515,0
04/09/15 07,3.533563375,2.093995333,3.723998308,4.582099438,1.642544389,5.397050858,4.716874123,115.0890427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.69326782,1,2.990501881,24.57278442,30.51677132,71.25648499,30.51677132,54.37426758,30.70955849,60.00342178,30.70955849,53.33823013,32.80845261,31.90845108,0
04/09/15 08,3.255060434,2.686609745,3.339315176,2.7471385,1.813462257,4.936132431,2.436345339,115.5929947,1,0,0,0,0,0,0,0,0,0,0,49.59499741,1,35.28652573,1,0,0,31.021595,1,0,0,82.04310608,1,2.990424871,24.28477097,28.31337357,76.23931885,28.2734623,86.39907074,20.9338398,82.4125824,20.82052231,67.45953369,30.85152435,29.95152473,0
04/09/15 09,2.984246731,3.019329071,3.339307547,3.202954769,2.334811449,5.130124569,2.592281818,117.5533905,1,0,0,0,0,0,0,0,0,0,0,50.95507813,1,34.85477829,1,0,0,30.16556168,1,0,0,73.2363205,1,2.990121841,23.16012001,28.23090172,76.23931122,28.18894005,83.63565063,20.04411125,82.26570892,19.9365139,69.402565,30.72803307,29.82803154,0
